Departamento,Barrio/Localidad,Organización,Actividad/es,Necesidades,Número de contacto,Otro contacto,Dirección,Horario,Aclaraciones Adicionales,Cuenta Banco,Coordenada Latitud,Coordenada Longitud
Montevideo,Punta de Rieles,Brigada Zapicán,Punto de Donación,"Alimentos no perecederos, frutas y verduras, carne. Productos de limpieza.",098635050 093381094,,Centauro 6845 entre Leo y Virgo.,Todos los días 19:30hs,,,-34.824577,-56.098628
Montevideo,Bella Italia,Coop. FUCVAM,Punto de Donación,Reciben todo tipo de donaciones,098124387  098638765,,SUM Complejo Juana de América,Lunes a Viernes de 10 a 12 hs y de 17 a 19 hs,,,-34.830802,-56.114409
Montevideo,Casabó,Iniciativa Vecinal,Merienda,"Leche, azúcar, cocoa, harina, dulce, manteca, huevos, pan, galletitas, etc.",092405789 096557454,,Continuación Perú 2540 esq. Pasaje Solano,,,,-34.881252,-56.268656
Montevideo,Casabó,Iniciativa Vecinal,Olla,Reciben todo tipo de donaciones,093819595,,Senegal 3785 esq. Charcas.,,Entrega de vianda,,-34.886869,-56.267889
Montevideo,Centro,ONG EL ABROJO,Punto de Donación,"Alimentos no perecederos, artículos de limpieza e higiene personal y del hogar",098575716,,Soriano 1153,Lunes a viernes de 9 a 15 hs,Coordinación telefónica de donaciones,,-34.907515,-56.191026
Montevideo,Villa Dolores,Red Solidaria,Punto de Donación,Alimentos no perecederos y artículos de limpieza,094204040 099629958 099337003,,Julio César 1466,Sábados de 11 a 13 y de 16 a 18hs,Pasan a buscar las donaciones en esos horarios,,-34.900014,-56.141644
Montevideo,Cerro,Iniciativa vecinal,Canasta,Alimentos no perecederos y productos de limpieza,091944342 098759845 099834255,,Grecia y Viacaba,"Reciben donaciones en el local lunes, miércoles y viernes de 17 a 19 hs",,,-34.887354,-56.248649
Canelones,Ciudad de la Costa,Club Albion,Canasta,Alimentos,099604054,,Interbalnearia y Marquez Castro,,Están armando canastas para entrega a familias del barrio,,-34.810931,-55.966150
Canelones,Costa de Oro,Resistencias de la Costa,Punto de Donación,Alimentos,098 067 805 099 301 228 099 472 132 095 903 271,,Supermercado Kabe en El Pinar.  ,,En Neptunia en Los Robles entre Coronilla y Av. Del Parque llamando a celulares de contacto.,,-34.800549 ,-55.921250
Canelones,Las Piedras,El Abrojo / Trampolines,Punto de Donación,Alimentos,099 699 322,,Wilson Ferreira Aldunate 712 ,,Coordinación telefónica,,-34.724075,-56.220145
Canelones,Lomas de Solymar,Lomas 3 Baby Fútbol,Punto de Donación,Alimentos no perecederos y productos de limpieza,098925931 092725742, ,Calle 2 esquina Tiburón,Miércoles y Viernes de 18 a 20 hs.,,,-34.813833,-55.932146
Canelones,Shangrilá,Iniciativa vecinal,Punto de Donación,Se reciben alimentos.,09101976, ,Perú Manzana 18 Solar 22 entre EEUU y San Francisco.,,,,-34.806792,-55.908090
Canelones,Villa la Colina,Merendero Los conquistadores Apoya Grupo Misericordia,Merienda,Alimentos y donaciones,091 292 894,,"Polideportivo: ""La Colina"" R8, km24",,,,-34.762859,-56.016885
Montevideo,Palermo,Bares Finisterre y El Hormiguero,Punto de Donación,Acopian donaciones para llevar a diferentes ollas,099569017 095010898,,José Enrique Rodó 1799 (Bar Finisterre)  / San Salvador 1644 (Bar Hormiguero),,Personalmente en los bares o lo pasan a buscar si es cerca (andan en bici) - Cordón y Palermo,,-34.904614,-56.177608
Flores,Ismael Cortinas,Iniciativa Vecinal,Olla,Alimentos,098360975 092010950,,"Club Arroyo Grande, En Ismael Cortinas: Mevir 4, Núm 25857 En Trinidad: Gral. Flores 454",,"Sábados y Domingo, mediodía y noche",,-33.959253,-57.087904
Maldonado,Playa Grande,Merendero,Merienda,"Alimentos no perecederos,  leche y pan",094254015,,Calle 26 entre 2 y 3,,"Almuerzo - sábados y domingos 13 hs. Merienda - todos los días 18 hs. Cena- todos los días de 19 a 21 hs. LLEVAR TAZA, TUPPER Y CUBIERTOS",,-34.844409,-55.293692
Río Negro,Fray Bentos,Iniciativa Vecinal,Punto de Donación,Alimentos,091 026 159,,Oribe 1935,,,,-33.122995,-58.297523
Salto,Salto,CECOED,Punto de Donación,"Alimentos no perecedores, artículos de higiene personal y ambiental, pañales de adultos/as y niños/as",092350389 47327359,,Avda. Luis Batlle Berres esq. Enrique Amorín,,,,-31.378475,-57.944455
Tacuarembó,Tacuarembó,DJ's y Olimpo,Canasta,Alimentos,092838233 097435635,,Calle 245,,,,-31.723711,-55.981348
Montevideo,Buceo,MIRAMAR BBC,Canasta,Alimentos en general para armar canastas.,099926182,,Santiago Gadea 3537,"Lunes 30 a viernes 3, de 10 a 12 y de 17.30 a 19 hs.",,,-34.890738,-56.142678
Montevideo,Reducto,Comité Guaycurú,Punto de Donación,Alimentos no perecederos y artículos de limpieza,099 458 417,,Evaristo Ciganda 1397 BIS,Todos los días de 10 a 12 y de 17.30 a 19.30,Pueden ir a buscar donaciones a domicilio,,-34.875694,-56.188517
Montevideo,Bella Vista,Club Bella Vista,Olla,Reciben donaciones,099167275 098456226,,Av. Agraciada 3100 esquina Ascencio Sede Bella Vista,Martes y Viernes 12hs,Llevar tupper. Un sólo representante por familia,,-34.874093,-56.200484
Montevideo,Cruz de Carrasco,iniciativa vecinal,Olla,"Alimentos no perecederos, verduras, implementos de cocina, sanitarios, garrafa/anafe o similar",098238589,Donaciones: 099102799 - 099629422,Camino Oncativo 2918 (Casona Covicruz),Sábados 12 horas,Es necesario llevar recipiente y concurrir una persona por familia,,-34.867607,-56.098921
Montevideo,Flor de Maroñas,Club Deportivo Celiar,Olla,Reciben todo tipo de donaciones,097 412 466,,Ombú y Ulises Favaro,Entrega de viandas: lunes a viernes de 19 a 20 hs. Sabado y Domingo de 17 a 18 hs,"Llevar recipiente, se entrega para el núcleo familiar. Se reciben donaciones de lunes a viernes de 17 a 20 hs; Sabado y Domingo de 16 a 18 hs.",,-34.848776,-56.113368
Montevideo,Malvín Norte,Iniciativa vecinal,Olla,Alimentos para olla y una olla grande,095 636 657,,Hipólito Yrigoyen e Iguá,Todos los días 19:30,,,-34.880786,-56.111456
Canelones,Santa Lucía,Inter Sindical PIT-CNT,Olla,Alimentos,098691711        092213138  092249381,,Ramón Irigoyen entre 18 de Julio y Mitre,Entrega de vianda todos los días. Sábados y domingos también merienda,Se reciben las donaciones en el horario de 17.00 a 20.00 hs en el local de la Inter Sindical del PIT-CNT,,-34.448901,-56.393950
Montevideo,Cerrito de la Victoria,Ollas y Canastas Solidarias,Olla,"Alimentos no perecederos, frutas y verduras, Artículos de limpieza, tuppers, cubiertos descartables",098422915 099841142 094807175 099927956 091252622,,Gral Flores y Chimborazo (Club Santa Ana),Martes 31 de marzo. 18 hs.,Llevar tupper. Por más información sobre las ollas que realiza esta organización: En instagram: ollasolidariamunicipiod . En facebook: OllaSolidarias,,-34.850138,-56.158792
Montevideo,Conciliación,Club Brandi,Olla,"Alimentos no percederos, productos de higiene y limpieza",098964527 096450004,,Adolfo Rodriguez 6738,Olla 18 hs.Recepción de donaciones a partir de las 13 hs.,,,-34.821829,-56.226056
Montevideo,Aires Puros,Centro Salesiano,Canasta,Solo dinero,2355 5684,,No corresponde,,,BBVA - CC $ 9927 19836 Centro Salesiano Aires Puros,No corresponde,No corresponde
Montevideo,Villa Española,Unidos Centro Educativo,Canasta,"Alimentos, productos de limpieza e higiene, donaciones económicas",091203982,,Francisco Vázquez Cores 3247,Lunes a Viernes,Tienen nexo con la iniciativa Involucrate,,-34.860547,-56.143978
Montevideo,Aguada,Aute,Punto de Donación,Campaña de recolección de alimentos para familias y para personal de servicios esenciales o en situación de vulnerabilidad.,092040449,,Av. Agraciada 2463,,Elaboración y reparto de alimentos para personal de servicios esenciales o en situación de vulnerabilidad.,,-34.886827,-56.191405
Montevideo,Centro,Adeom,Punto de Donación,Campaña del Kilo para familias vulnerables.,099759758,,Canelones 1330,,"Reciben solo donaciones para canastas, no están haciendo ollas",,-34.908433,-56.187183
Montevideo,Reducto,Coordinadora D,Canasta,"Productos de limpieza, alimentos secos, juguetes, ropa en buen estado, transporte",099204370  099869454,,Gil 1051 esq. Dufort y Álvarez,,"Es el comité del FA cuaró, en principio recibe solo donaciones para armado de canastas",$ 00152324-00001 BROU,-34.870238,-56.202083
Montevideo,Jacinto Vera,Iniciativa vecinal,Canasta,"Alimentos no perecederos, artículos de higiene personal y para el hogar",095588004 (Gastón)  097977933,,No corresponde,,Se coordina por teléfono,,No corresponde,No corresponde
Montevideo,Cerrito de la Victoria,COLECTIVO TRANS,Olla,"Reciben alimentos no perecederos, verduras, condimentos, etc.",095206931 099211688,,Manuel Meléndez 4017 entre León Pérez y Santiago Sierra,,,,-34.855432,-56.164654
Tacuarembó,Tacuarembó,Club FiatLux,Punto de Donación,Reciben donaciones de alimentos,46320615,,Sarandí 354,,Hacen ollas a veces pero no tienen día ni horario fijo,,-31.716903 ,-55.976964
Montevideo,Cerrito de la Victoria,METELE QUE SON PASTELES,Canasta,Alimentos para canasta,094476451 091211765 098000052 099757609,1950 int. 7487,Joaquín Artigas 3326 (local de la murga),15-18 hrs  (Coordinar vía telefónica),"Se retiran las donaciones a domicilio, están armando canastas para llevar a donde se indiquen, se manejan fundamentalmente a través de los celulares.",,-34.859985,-56.168190
Montevideo,Nuevo París,Centro Cultural Totó y vecinos/as del barrio,Canasta,Reciben donaciones,097426604,98429757,No corresponde,,,,No corresponde,No corresponde
Montevideo,Arroyo Seco,Manos Ancapeanas Brigada Solidaria,Punto de Donación,Reciben todo tipo de alimentos para distribuir a ollas populares,0983221514,,Av. Agraciada 2522,,,,-34.885439,-56.192380
Montevideo,Centro,SUA (Sociedad Uruguaya de Actores),Punto de Donación,Reciben todo tipo de donaciones,091 381 895,098 787 582,Centro Cultural Carlos Brussa (Mercedes 931),15 a 19,,"Brou de Caja de Socorros de SUA, Cuenta Corriente 001554456-00002 en pesos",-34.904083,-56.196575
Montevideo,Piedras Blancas,Solidario Unido Seis Barrios,Olla,Alimentos no perecederos y productos para celíacos,092927150,094360368,Calle Rafael solar 43 esq Dunant,11 a 19hs,Además de organizar ollas también organizan canastas y meriendas,,-34.823159,-56.126744
Montevideo,Unión,Club Estudiantes de la Unión,Olla,"Alimentos no perecederos, carne, artículos de limpieza y ropa de abrigo",094460660,lalogarmen2@gmail.com,Cabrera y Pernas,,Cuentan con disponibilidad horaria y locomoción para ir por las donaciones,,-34.878352,-56.142935
Montevideo,Barrio Lavalleja,Club Royal,Merienda,recepcionan alimentos y donaciones en la sede,093734042,,Yucutuja 1250,"Validar vía celular, 18hrs en la cancha",,,-34.836477,-56.194803
Montevideo,Belvedere,Iniciativa vecinal,Merienda,Alimentos como para la merienda,095626343,,Esmeralda frente a la vía esq. Emancipación,"Lunes, Miércoles y viernes a las 17 hs",,,-34.852915,-56.215804
Montevideo,"Ciudad Vieja,Barrio Sur,Aguada,Centro",Jóvenes FA,Realización de compras,No corresponde,093302231,,No corresponde,Se toman pedidos de mandados hasta las 18 hs y se comienza a repartir a partir de las 19 hs.,Realización de compras a población de riesgo,,No corresponde,No corresponde
Montevideo,"Cordón,Palermo,Parque Rodó,Aguada,La Comercial,Tres Cruces",Jóvenes FA,Realización de compras,No corresponde,099440874,,No corresponde,,Realización de compras a adultos mayores,,No corresponde,No corresponde
Montevideo,Bella Vista,Jóvenes FA,Canasta,"Se recibe alimentos no perecederos, juguetes, ropa, apoyo transporte",099204370,099869454,Hermanos Gil 1051 esq Dufort y Álvarez, Martes miércoles y viernes de 15 a 19 hs,,Caja de ahorro en pesos (Brou) 000152324-00001,-34.870110,-56.202101
Montevideo,Capurro,Club Atlético Capurro,Olla,Se reciben alimentos,099202923,096496373   091802863,Capurro 922,De lunea a viernes de 15 a 18 hs ,La olla se hace los sábados y domingos de 11 a 15 hs,,-34.869417,-56.208516
Canelones,Santa Lucía,PIT-CNT,Otros,Alimentos no perecederos.,098691711 092213138  092249381,,Ramon Irigoyen entre 18 de Julio y Julio Mitre,de 17:00 a 20:00 hrs,coordinar vía telefónica para retirar viandas,,-34.448007,-56.393196
Montevideo,Maroñas,Jóvenes FA,Canasta,Alimentos no perecederos y artículos de primera necesidad,098524292,098948820,Veracierto 3310,Jueves 2 de 14 a 18 hs,,,-34.855858,-56.129185
Montevideo,Aires Puros,Jóvenes FA,Canasta,Alimentos y artículos de limpieza,099144809,,"Comité Carlos Quijano, Atahona esq. Celedonio Rojas",Jueves y sábado de 10 a 12 hs,,,-34.850648,-56.187903
Montevideo,Barrio Lavalleja,Red Solidaria Barrio Lavalleja,Olla,Se brinda alimento ,098865307 (Florencia),094357002 Hugo,"Av de las instrucciones Esq Silva, Teatro del Barrio","12-14; 17:30 a 19:30, Sábado 16hrs",,,-34.837184,-56.193573
Montevideo,Conciliación,Jóvenes FA,Olla,Alimentos,098964527,096450004,Adolfo Rodíguez 6664 (Club Brandi),"Diario, donaciones desde las 13 hs y olla a las 18 hs.",,(Brou) 000816328-00002,-34.822731,-56.224406
Montevideo,Barrio Lavalleja,Cooperativa Tacuabe,Olla,Se brinda alimento ,099057783,093967875,Clemeceau 937 Esq Cayetano silva,12 a 17 hrs,,,-34.846143,-56.198035
Montevideo,Barrio Lavalleja,"Salón comunitario ""San Antonio""",Punto de Donación,Alimentos,096951220,,Yucutujá 1250 esq. Santos,,,,-34.836521,-56.194814
Montevideo,Barrio Lavalleja,Red Solidaria Barrio Lavalleja,Olla,Se brinda alimento en el siguiente horario,099709823,,"Av de las instrucciones 1200 A, apto 2",12 a 17 hrs,,,-34.840029,-56.196460
Montevideo,Barrio Lavalleja,Red Solidaria Barrio Lavalleja,Punto de Donación,Retiramos Tu donación,098865307-Florencia,094357002  Hugo,No corresponde,durante el día,Retiramos tu donación,,No corresponde,No corresponde
Montevideo,Malvín Norte,Jóvenes FA,Punto de Donación,Recaudación de alimentos no perecederos,092929791,,8 de octubre y Villagrán 4173,Lunes y viernes de 16 a 18 hs,,,-34.868870,-56.134889
Canelones,Tala,Liceo de Tala,Punto de Donación,Se reciben donaciones de cualquier tipo para hacer olla popular,095417092,,Liceo de Tala,Durante el día,,,-34.344580,-55.760188
Montevideo,La Teja,El rancho,Punto de Donación,Se reciben donaciones de cualquier tipo para hacer olla popular,23051061,094524282,Heredia y Martin Berindague,"De 11 a 13 se brinda almuerzo, se reciben donaciones durante el día",,,-34.870060,-56.233237
Montevideo,La Teja,iniciativa vecinal,Punto de Donación,Se reciben donaciones de cualquier tipo para hacer olla popular,094097964  095495396  094900817,,No corresponde,durante día,,,No corresponde,No corresponde
Montevideo,Cordón,SERPAJ,Punto de Donación,Alimentos no perecederos,24085301,,Requena 1642 entre 18 de Julio y Colonia,Jueves 2 de abril de 15 a 18 hs - Viernes 3 de abril de 14 a 17 hs,,,-34.898523,-56.170184
Montevideo,Piedras Blancas,Solidarios Unidos seis barrios,Olla,Alimentos y donaciones,092927150 María,,Rafael y Teniente Galeano (frente a la barraca),Merienda 17 hs. Reparten Cena a las 20 hs.,También cubren merienda. Llevar tupper,,-34.825375,-56.126258
Montevideo,Piedras Blancas,Merendero Estrella de Oro,Olla,"Alimentos, productos de higiene y limpieza",096098766 Yessica,,Clemente Ruggia y Ma del Rosario Ramos (salón de la cancha),19hs,"Llevar tupper, olla de demanda muy creciente. Solicitan guantes y tapabocas para las personas voluntarias",,-34.818080,-56.131447
Montevideo,Piedras Blancas,Merendero Nuevo Amanecer,Olla,"Alimentos, productos de higiene y limpieza",095286057 Ana,,San Cono 3981 esq César Batlle Pacheco y Francisca Barroso,20hs,Llevar tupper,,-34.817925,-56.136352
Montevideo,Bella Italia,Iniciativa vecinal,Olla,"Alimentos, leche en polvo, productos de higiene y limpieza",094368436 Ismael,093867350 Loreley,Blanco Acevedo 6159 esq. Florencia. Almacén Peladito,20:30hs,Jueves y Viernes. Demandan principalmente Leche en polvo,,-34.830255,-56.115961
Montevideo,Bella Italia,Iniciativa vecinal,Olla,"Alimentos, leche en polvo, productos de higiene y limpieza",093835462 Roberto,095820596 Juan Pablo. 096488282 Luis,Felisberto Hernandez 3538 BIS,17hs y 20hs,Funciona Sábados y Domingos / 17hs merienda 20hs cena / Demandan Guantes y tapabocas para voluntarios/as,,-34.829107,-56.112125
Montevideo,Bella Italia,Complejo Juana de América,Punto de Donación,Alimentos y productos de higiene y limpieza para armado de canastas,098124387 Natalia,098638765 Luciana,Complejo Juana de América. Salón comunal,10 a 12 y 17 a 19hs,"Martes, jueves y sábados. Demandan guantes y tapabocas para voluntarios/as. (Arroz y fideos tienen mucho)",,-34.828276,-56.114418
Montevideo,Bella Italia,Brigada José Artigas,Olla,Alimentos (carnes y verduras principalmente) Alcohol en gel,095775335 Adrián,,Carlomagno esq. Victor Manuel. Mercadito Bella Italia,12hs,Lunes a viernes. Demandan cocineros. Guantes y tapabocas para la gente que cocina,BROU Caja de ahorro en pesos Nº 110171769-00001,-34.836224,-56.117719
Montevideo,Bella Italia,Iniciativa vecinal,Olla,"Alimentos, leche en polvo, productos de higiene y limpieza",097030441 Gabriela,,Manuel Perez 6129 esq. Curis,20hs,Martes y miércoles / 17hs merienda 20hs cena / Demandan principalmente leche en polvo,,-34.830379,-56.116276
Montevideo,Villa Dolores,Club Layva,Punto de Donación,Alimentos no perecederos y artículos de limpieza,099337003,099629958  094204040,Julio César 1466,Miércoles de 17 a 18 hs y sábados de 12 a 13 hs,Pasan a buscar los miércoles de 16 a 18 hs y sábados de 11 a 13 hs o 16 a 18 hs,,-34.899961,-56.141623
Montevideo,Villa Dolores,Club 25 de agosto,Punto de Donación,Alimentos no perecederos y artículos de limpieza,099337003,099629958  094204040,José L. Bado 3186,Miércoles de 17 a 18 hs y sábados de 12 a 13 hs,Pasan a buscar los miércoles de 16 a 18 hs y sábados de 11 a 13 hs o 16 a 18 hs,,-34.901276,-56.146676
Montevideo,Paso Molino,El abrojo,Punto de Donación,"Alimentos no perecederos, artículos de limpieza e higiene personal y del hogar",098424814,,Vicente Basagoity 3922,Lunes a viernes de 13 a 18 hs,,,-34.861849,-56.216908
Montevideo,Colón,El abrojo,Punto de Donación,"Alimentos no perecederos, artículos de limpieza e higiene personal y del hogar",091269590,,Amandau 5722 esq. Eduardo Raíz,Lunes a viernes de 11 a 16 hs,,,-34.805239,-56.224665
Canelones,Las Piedras,El abrojo,Punto de Donación,"Alimentos no perecederos, artículos de limpieza e higiene personal y del hogar",099699322,,Wilson Ferreira Aldunate 712,Lunes a viernes de 9 a 15 hs,,,-34.714339,-55.961890
Canelones,Las Piedras,El abrojo,Punto de Donación,"Alimentos no perecederos, artículos de limpieza e higiene personal y del hogar",094992782,,Av. Instrucciones del año XIII (al fondo de comedor estudiantil),Lunes a viernes de 11 a 15 hs,,,-34.727993,-56.217591
Paysandú,Paysandú,"Liga universitaria, Paysandú",Canasta,Reciben todo tipo de donaciones,091401964,,"No corresponde, donaciones a coordinar",,,"BROU, CA$ 001409166-00002",No corresponde,No corresponde
Montevideo,Piedras Blancas,"Olla Solidaria Sumando Esfuerzo, Comisión 16 de Marzo.",Punto de Donación,"Alimentos no perecederos, verduras, carne, artículos de limpieza y de higiene personal.","095952219, 095078679",,No Corresponde,En el día,Comunicarse vía móvil para concretar,,No corresponde,No corresponde
Rivera,Rivera,Mides e Intendencia de Rivera,Empresa que dona,No corresponde,IdR y MIDES Rivera,,"Barrios: Rivera Chico, Misiones, La Arenera, Colegio Don Bosco",Todos los días de 11 a 13,Comedores departamentales. Llevar cédula y recipiente.,,No corresponde,No corresponde
Rivera,Rivera,Cuerpo docente Liceo Número 2,Canasta,Alimentos y productos de limpieza para canastas,094955669,,Barrio Rivera Chico,,,,No corresponde,No corresponde
Rivera,Rivera,Modistas,Empresa que dona,No corresponde,www.facebook.com/sonia.rodriguez.900,,Comunicarse por Facebook,,Donan tapabocas hechos a mano,,No corresponde,No corresponde
Paysandú,Paysandú,Mesa intersocial Paysandú,Punto de Donación,Alimentos,098307154,099486640,Levantan a domicilio,,,,No corresponde,No corresponde
Montevideo,Parque Rodó,Comité Parque Rodó,Punto de Donación,Alimentos y artículos de limpieza,099440874,099421672,Gonzalo Ramíres y Eduardo Acevedo,17 a 19,,,-34.911897,-56.173783
Rivera,Rivera,Cuerpo docente Liceo Número 3,Canasta,Alimentos y productos de limpieza para canastas,095252930,,Reyles y Tranqueras,,,,-30.907924,-55.537064
Montevideo,Casabó,Jóvenes FA,Olla,Alimentos,092190987,,Austria 2528 bis,Todos los días a las 20:30 hs,,,-34.883812,-56.276331
Montevideo,Centro,SUAP,Punto de Donación,"Jabón líquido, alcohol en gel, tapabocas, guantes descartables",29011982,,Local Fuecys (Río Negro 1210),"Del lunes 31 al jueves 2 de abril, de 10 a 17 hs",,,-34.908456,-56.193337
Montevideo,Colón,Asociación Civil Monte de la Francesa,Punto de Donación,"Se reciben donaciones, alimentos no perecederos",093 753 642,2320 8307,Iturbe y Lanus (en el teatro),Lunes a Sabádo de 15 a 19 hrs,,,-34.805083,-56.231988
Montevideo,Lezica,Iniciativa Vecinal,Olla,se reciben alimentos no perecedero y productos de limpieza,096262917,,Carlos Ott 2060 Bis,20:00 hrs,"Arrimarse con la vianda, coordinar entrega de alimentos no perecederos y productos de limpieza vía movil.",,-34.803937,-56.236244
Montevideo,Lezica,Club Estrella del Norte,Olla,Se reciben alimentos y productos de limpieza,No corresponde,,"Padre Pablo Pittini, 12400",Todo el día,Se hace olla y se reciben donaciones,,-34.793743,-56.238757
Montevideo,Santa Catalina,Iniciativa Vecinal,Olla,Se reciben alimentos,092726853,,Caminos Santa Catalina y los Murallones,Consultar horario,,,-34.892908,-56.291834
Montevideo,Cerro,Iniciativa Vecinal,Merienda,"Se reciben donaciones de: Leche en polvo, Cocoa, Azúcar,Bizcochos, Pan, Galletas, Dulces y Mermeladas, Fruta, Articulos de limpieza e Higiene",099834255,092728754,Asentamiento Fortaleza,Consultar vía celular,Se están realizando meriendas para ayudar a lxs Niñxs del asentamiento Fortaleza brindandoles una merienda diaria.,,-34.887839,-56.259934
Montevideo,Colón,"AIDA SUR, Empleados del Nuevo Chopicón,, Agrupación I.F.A. y Pepe DÈlia",Olla,Se reciben alimentos.,Gabriel Crause: 093678767,,Garzón y Lanús(Plaza Colón),Todos los días 12 y 18 hs,Traer Tupper o Vianda,,-34.848808,-56.232513
Montevideo,Colón,"Comunidad Charrúa Jaguar Berá, Gremio estudiantil Liceo 9, Comisión del Castillo",Punto de Donación,Se reciben alimentos no perecederos.,099761484,@castilloidiarte; @del9gremio,Av Lezica 5912 esquina iturbe,Coordinar vía redes,,,-34.802130,-56.232094
Montevideo,Nuevo Verdisol,Nucleo del liceo 74,Punto de Donación,Aportes a traves de cuenta y alimentos,092120727,,La tablada,Sábado y Domingo sirven a las 20,,,-34.813216,-56.253795
Montevideo,Colón,iniciativa Vecinal,Punto de Donación,"Donaciones y olla popular, también se reciben tapa bocas y productos de limpieza",094068329,095798613,"Fernando Menck 5880, ""La quinta""","18 hrs, contactar telefónicamente",,,-34.789402,-56.227309
Montevideo,Cordón,Mercado Popular de Subsistencia,Punto de Donación,"Alimentos no perecederos, Productos de limpieza, Dinero, Transporte de productos",099281748,098825512,No Corresponde,Durante el día,Coordinar via telefónica,Cuenta Brou Nº 000594817-00003,No corresponde,No corresponde
Montevideo,Casavalle,Grupo de madres de la escuela.,Merienda,"Leche, maizena, salsa y carne.",096138220 (Leticia),,Calle F 5610 frente a la escuela Junquillos (Barrio 24 de enero Instrucciones entre Domingo Arena y Duran),Lunes a domingo a las 18:00.,Atienden 50 adultos/as aprox más niñes. Dan aproximadamente 70 botellas de leche.,,-34.837342,-56.184385
